member_casual,Average of ride_length,,,,,,,,,,,
casual,01:35:47,,,,,,,,,,,
member,00:12:41,,,Average of ride_length,day_of_week,,,,,,,
(blank),,,,member_casual,1,2,3,4,5,6,7,Grand Total
Grand Total,00:22:07,,,casual,01:35:11,01:13:55,01:24:38,01:15:00,02:05:52,01:58:18,01:40:17,01:35:47
,,,,member,00:15:49,00:12:59,00:11:32,00:11:40,00:11:33,00:12:37,00:15:30,00:12:41
,,,,Grand Total,00:39:03,00:17:24,00:16:40,00:17:02,00:20:01,00:21:37,00:32:22,00:22:07
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Count of ride_id,day_of_week,,,,,,,
,,,,member_casual,1,2,3,4,5,6,7,Grand Total
,,,,casual,14886,4854,5264,5933,4895,5167,7480,48479
,,,,member,35964,61923,69697,63978,61245,55496,30104,378407
,,,,Grand Total,50850,66777,74961,69911,66140,60663,37584,426886
